iter	Logloss
0	0.5996227759
1	0.5226031281
2	0.4694846156
3	0.4307439481
4	0.399918039
5	0.3727348747
6	0.3530197249
7	0.3388209043
8	0.3284502099
9	0.3178874303
10	0.3083617065
11	0.3000934606
12	0.2911206703
13	0.2846469152
14	0.2778457028
15	0.2720909096
16	0.2669143679
17	0.2613820326
18	0.2580039529
19	0.2544881538
20	0.2512321
21	0.2491072874
22	0.2460441025
23	0.2441389963
24	0.241589621
25	0.2398625853
26	0.2372092307
27	0.2344440217
28	0.2308719381
29	0.2293850841
30	0.226830497
31	0.2241800127
32	0.2212857031
33	0.2202720826
34	0.2179861508
35	0.2169937908
36	0.2153916184
37	0.2130841506
38	0.2125372966
39	0.2112541611
40	0.2097613593
41	0.2089299446
42	0.2081205843
43	0.2074993633
44	0.2066091656
45	0.204831636
46	0.2026782812
47	0.2015366544
48	0.2010557264
49	0.1995170241
50	0.1986620775
51	0.1969827135
52	0.1951542808
53	0.1942729571
54	0.1930765419
55	0.1922788598
56	0.1913749191
57	0.1907866161
58	0.1884899576
59	0.1876967112
60	0.1868495353
61	0.1864581202
62	0.1852584336
63	0.184049015
64	0.1830418468
65	0.1825302374
66	0.1818552693
67	0.181002154
68	0.1801695686
69	0.1795925661
70	0.1794059773
71	0.1789772772
72	0.1785862783
73	0.1776945238
74	0.1770748664
75	0.1765884831
76	0.1755080895
77	0.1749861572
78	0.1747088879
79	0.1739611755
80	0.1735921886
81	0.1730831055
82	0.1728061757
83	0.1725149735
84	0.1716419745
85	0.1711286987
86	0.1706296037
87	0.1696091202
88	0.1689430727
89	0.1680596949
90	0.1673596788
91	0.1668887872
92	0.1665367473
93	0.1654077666
94	0.1639001464
95	0.1635852391
96	0.1632311881
97	0.1626033002
98	0.1622720289
99	0.1619242176
100	0.1613005574
101	0.1606328168
102	0.1601988047
103	0.1596647886
104	0.1589345864
105	0.1582564896
106	0.1575426911
107	0.1571598719
108	0.156696657
109	0.1562309339
110	0.1555388803
111	0.1549623247
112	0.1545357569
113	0.1537083251
114	0.1531252931
115	0.1524879592
116	0.1519705066
117	0.1513887836
118	0.1511180889
119	0.150488828
120	0.149793293
121	0.1493675494
122	0.1489703177
123	0.1484374104
124	0.1479736895
125	0.1476512763
126	0.1471662687
127	0.1467984811
128	0.1463780733
129	0.1454254629
130	0.1450796361
131	0.1444042348
132	0.1440375487
133	0.143520587
134	0.1432999478
135	0.1429155845
136	0.1426153043
137	0.1420034173
138	0.1414993629
139	0.1411095099
140	0.1407385376
141	0.1402641061
142	0.1400044541
143	0.1395272592
144	0.1391984717
145	0.1391579174
146	0.1385702077
147	0.1381583265
148	0.1377958667
149	0.1377907833
150	0.1373600446
151	0.1368820212
152	0.1366509556
153	0.1362607224
154	0.135945234
155	0.1355966452
156	0.1352847082
157	0.1349968781
158	0.1345421871
159	0.1343039653
160	0.1339195322
161	0.1333733841
162	0.132841463
163	0.132470463
164	0.1318966913
165	0.1315728924
166	0.1311837585
167	0.1309713894
168	0.1306510406
169	0.1303565881
170	0.1300952677
171	0.1296365434
172	0.1291169663
173	0.1287576985
174	0.1284882021
175	0.1284685938
176	0.1279557785
177	0.1276308444
178	0.1271650833
179	0.1267841969
180	0.1260491945
181	0.1257945245
182	0.1254533433
183	0.1248910161
184	0.1246267146
185	0.1242737356
186	0.1239622217
